"asin","genre","sum_q","sum_q1","mean_e1","mean_gamma1","mean_alpha1","mean_p","mean_lR","mean_lRhat","mean_R","mean_Rhat","mean_sigma","mean_avgR","max_DNYT","max_DOTH","max_DUSAT","mean_lreview","mean_drecommended"
"0001712810","JUVENILE FICTION",3017889.61893902,3017889.61893902,0,2.51709256506012,0.168762184541396,6.65,1.52605628967285,1.47413169027404,4.59999990463257,4.37626447663099,0.373274296522141,4.69804859161377,0,0,0,4.77068471908569,0
"0001712896","JUVENILE FICTION",9025703.61973848,9025703.61973848,0,2.40010867474839,0.168762184541396,6.89,1.43508446216583,1.47413169027404,4.19999980926514,4.37626447663099,0.373274296522141,4.19999980926514,0,0,0,3.58351898193359,0
"0003300099","JUVENILE FICTION",5843565.96685633,5843565.96685633,0,2.44871614245832,0.168762184541396,13.99,1.54756247997284,1.47413169027404,4.69999980926514,4.37626447663099,0.373274296522141,4.69999980926514,0,0,1,7.67322301864624,0
"000735634X","FICTION: Historical",3341793.55899945,3341793.55899945,0,2.34926412989884,0.168762184541396,8.75,1.50407743453979,1.47413169027404,4.5,4.37626447663099,0.373274296522141,4.5,0,0,0,8.2943000793457,0
"0007378033","BIOGRAPHY & AUTOBIOGRAPHY",6009808.81924963,6009808.81924963,0,2.39152789613558,0.168762184541396,17.72,1.56861591339111,1.47413169027404,4.80000019073486,4.37626447663099,0.373274296522141,4.80000019073486,0,0,1,10.2484951019287,0
"0007440812","LITERARY CRITICISM",7297174.29021561,7297174.29021561,0,2.36837478857444,0.168762184541396,52.86,1.54756247997284,1.47413169027404,4.69999980926514,4.37626447663099,0.373274296522141,4.69999980926514,0,0,0,9.86672019958496,0
"0007451652","FICTION: Mystery & Detective",10929770.2820046,10929770.2820046,0,2.53262940946637,0.168762184541396,12.99,1.45861506462097,1.47413169027404,4.30000019073486,4.37626447663099,0.373274296522141,4.30000019073486,0,0,1,1.0986123085022,0
"0007451660","FICTION: Mystery & Detective",8940732.28905658,8940732.28905658,0,2.35969581177192,0.168762184541396,12.99,1.45861506462097,1.47413169027404,4.30000019073486,4.37626447663099,0.373274296522141,4.30000019073486,0,0,0,5.8200831413269,0
"0007461240","RELIGION",8163037.85725052,8163037.85725052,0,2.2861649207069,0.168762184541396,14.58,1.45861506462097,1.47413169027404,4.30000019073486,4.37626447663099,0.373274296522141,4.30000019073486,0,0,0,7.82763957977295,0
"0007548087","BIOGRAPHY & AUTOBIOGRAPHY",4529903.41064451,4529903.41064451,0,2.58178699369071,0.168762184541396,15.81,1.50407743453979,1.47413169027404,4.5,4.37626447663099,0.373274296522141,4.47741937637329,0,0,0,1.94591009616852,0
"0007548389","HISTORY",1637675.82406761,1637675.82406761,0,2.1952059703374,0.168762184541396,19.7700004577637,1.43508446216583,1.47413169027404,4.19999980926514,4.37626447663099,0.373274296522141,4.15925924159862,1,0,0,9.17781734466553,1
"0007569904","FICTION: Fantasy",5079302.57892985,5079302.57892985,0,2.62829640093973,0.168762184541396,18.99,1.56861591339111,1.47413169027404,4.80000019073486,4.37626447663099,0.373274296522141,4.80000019073486,0,0,0,3.78418970108032,0
"0008102147","FICTION: Historical",879616.434860188,879616.434860188,0,2.38412904840277,0.168762184541396,10.19,1.52605628967285,1.47413169027404,4.59999990463257,4.37626447663099,0.373274296522141,4.59999990463257,0,0,1,8.40088367462158,0
"0008150559","FICTION: Humorous",2239779.31211274,2239779.31211274,0,2.19840778018283,0.168762184541396,19.7600002288818,1.36097657680511,1.47413169027404,3.90000009536743,4.37626447663099,0.373274296522141,4.10729927042105,1,0,0,5.52146100997925,0
"0008196478","BIOGRAPHY & AUTOBIOGRAPHY",5636417.31568764,5636417.31568764,0,2.51423189960959,0.168762184541396,21.4,1.48160457611084,1.47413169027404,4.40000009536743,4.37626447663099,0.373274296522141,4.56300588839316,0,0,0,2.70805025100708,0
"0008196486","BIOGRAPHY & AUTOBIOGRAPHY",3359649.0326431,3359649.0326431,0,2.51423189960959,0.168762184541396,7.58,1.48160457611084,1.47413169027404,4.40000009536743,4.37626447663099,0.373274296522141,4.50402695060576,0,0,0,2.70805025100708,0
"0008201196","FICTION: Family Life",5038725.39840076,5038725.39840076,0,2.19840778018283,0.168762184541396,19.7600002288818,1.36097657680511,1.47413169027404,3.90000009536743,4.37626447663099,0.373274296522141,4.09137928896937,1,0,0,5.52146100997925,0
"0008204896","FICTION: Thrillers",11030744.9830127,11030744.9830127,0,2.24697809254514,0.168762184541396,27.1900005340576,1.33500111103058,1.47413169027404,3.79999995231628,4.37626447663099,0.373274296522141,4.09894732425087,1,0,0,2.94443893432617,0
"0008223548","FICTION: Thrillers",2908684.41112005,2908684.41112005,0,2.14461043023797,0.168762184541396,10.39,1.28093385696411,1.47413169027404,3.59999990463257,4.37626447663099,0.373274296522141,3.56326524578795,0,0,0,3.13549423217773,0
"0008240639","FICTION: Romance",9020278.14827248,9020278.14827248,0,2.29909089140719,0.168762184541396,7.99,1.36097657680511,1.47413169027404,3.90000009536743,4.37626447663099,0.373274296522141,3.90000009536743,0,0,0,2.7725887298584,0
"0008240922","FICTION: General",6545548.77226082,6545548.77226082,0,2.43184876414854,0.168762184541396,13.93,1.45861506462097,1.47413169027404,4.30000019073486,4.37626447663099,0.373274296522141,4.30000019073486,0,0,0,3.85014748573303,0
"0008249679","FICTION: Mystery & Detective",2116707.17980099,2116707.17980099,0,2.83890660549293,0.168762184541396,12.95,1.60943794250488,1.47413169027404,5,4.37626447663099,0.373274296522141,5,0,0,1,0,0
"0008258155","FICTION: General",7301815.75495665,7301815.75495665,0,2.51423189960959,0.168762184541396,14.78,1.48160457611084,1.47413169027404,4.40000009536743,4.37626447663099,0.373274296522141,4.41000008583069,0,0,0,2.70805025100708,0
"0008260680","FICTION: Romance",4790883.58321212,4790883.58321212,0,2.55911340828956,0.168762184541396,9.75,1.50407743453979,1.47413169027404,4.5,4.37626447663099,0.373274296522141,4.56666657863519,0,0,0,2.56494927406311,0
"0008261229","FICTION: General",2512532.21593159,2512532.21593159,0,2.18437536360069,0.168762184541396,11.24,1.25276291370392,1.47413169027404,3.5,4.37626447663099,0.373274296522141,3.58249996900558,0,0,0,0.6931471824646,0
"0008261288","FICTION: Romance",3722388.33610422,3722388.33610422,0,2.46909607298821,0.168762184541396,6.45,1.45861506462097,1.47413169027404,4.30000019073486,4.37626447663099,0.373274296522141,4.58405803943026,0,0,0,2.83321332931519,0
"0008262357","LANGUAGE ARTS & DISCIPLINES",9934256.82358978,9934256.82358978,0,2.53262940946637,0.168762184541396,14.24,1.45861506462097,1.47413169027404,4.30000019073486,4.37626447663099,0.373274296522141,4.16285724639893,0,0,1,1.0986123085022,0
"000826919X","FICTION: General",8382643.96313629,8382643.96313629,0,2.30057857243083,0.168762184541396,11.74,1.3862943649292,1.47413169027404,4,4.37626447663099,0.373274296522141,4.06666668256124,0,0,1,3.95124363899231,0
"0008275572","FICTION: Action & Adventure",1683402.11837171,1683402.11837171,0,2.25816332054792,0.168762184541396,12.46,1.33500111103058,1.47413169027404,3.79999995231628,4.37626447663099,0.373274296522141,3.64095235779172,0,0,0,2.63905739784241,0
"0008290687","FICTION: Romance",6894397.05991441,6894397.05991441,0,2.41269263580914,0.168762184541396,14.33,1.41098690032959,1.47413169027404,4.09999990463257,4.37626447663099,0.373274296522141,4.09047610419137,0,0,0,2.0794415473938,0
"0008296715","BIOGRAPHY & AUTOBIOGRAPHY",8344336.45451167,8344336.45451167,0,2.15347912834841,0.168762184541396,19.7399997711182,1.33500111103058,1.47413169027404,3.79999995231628,4.37626447663099,0.373274296522141,4.26697246962731,1,0,0,5.49716806411743,0
"0008296987","BUSINESS & ECONOMICS",6804338.2918088,6804338.2918088,0,1.95774886659164,0.168762184541396,69.5800018310547,1.16315078735352,1.47413169027404,3.20000004768372,4.37626447663099,0.373274296522141,4.15157894837229,1,0,0,2.56494927406311,0
"0008298548","FICTION: Family Life",11023733.1909292,11023733.1909292,0,2.01495900377701,0.168762184541396,27.6599998474121,1.19392240047455,1.47413169027404,3.29999995231628,4.37626447663099,0.373274296522141,3.7571428162711,1,0,0,2.4849066734314,1
"0008299234","LITERARY COLLECTIONS",3676319.07119445,3676319.07119445,0,2.50724146570062,0.168762184541396,13.92,1.45861506462097,1.47413169027404,4.30000019073486,4.37626447663099,0.373274296522141,4.29999995231628,1,0,0,1.7917594909668,0
"0008300143","FICTION: Thrillers",1533541.12554436,1533541.12554436,0,2.39782311059574,0.168762184541396,10.39,1.45861506462097,1.47413169027404,4.30000019073486,4.37626447663099,0.373274296522141,4.28823546101065,0,0,1,4.77912330627441,0
"0008301034","FICTION: Romance",2601899.33400595,2601899.33400595,0,2.23997696112608,0.168762184541396,13.89,1.3862943649292,1.47413169027404,4,4.37626447663099,0.373274296522141,4,0,0,1,5.60580205917358,0
"0008301360","YOUNG ADULT FICTION",7312514.81331904,7312514.81331904,0,2.48156725455291,0.168762184541396,8.67,1.50407743453979,1.47413169027404,4.5,4.37626447663099,0.373274296522141,4.5,0,0,0,4.68213129043579,0
"0008312788","POLITICAL SCIENCE",10640229.0424471,10640229.0424471,0,1.95774886659164,0.168762184541396,69.5800018310547,1.16315078735352,1.47413169027404,3.20000004768372,4.37626447663099,0.373274296522141,3.95090908137235,1,0,0,2.56494927406311,0
"0008329818","BIOGRAPHY & AUTOBIOGRAPHY",3610557.09056268,3610557.09056268,0,2.55003800822452,0.168762184541396,26.1100006103516,1.52605628967285,1.47413169027404,4.59999990463257,4.37626447663099,0.373274296522141,4.15999989509583,1,0,0,3.8712010383606,1
"0020436203","JUVENILE FICTION",2721123.15636321,2721123.15636321,0,2.48216605346361,0.168762184541396,4.96,1.48160457611084,1.47413169027404,4.40000009536743,4.37626447663099,0.373274296522141,4.40109899541834,0,0,0,3.58351898193359,0
"0027351904","JUVENILE NONFICTION",2232944.09977189,2232944.09977189,0,2.527423162467,0.168762184541396,13.3,1.52605628967285,1.47413169027404,4.59999990463257,4.37626447663099,0.373274296522141,4.59999990463257,0,0,0,4.48863649368286,0
"0027379108","JUVENILE FICTION",3547046.03159184,3547046.03159184,0,2.48116251505485,0.168762184541396,16.73,1.48160457611084,1.47413169027404,4.40000009536743,4.37626447663099,0.373274296522141,4.37087924401839,0,0,0,3.61091780662537,0
"0027440001","JUVENILE FICTION",4519956.70580385,4519956.70580385,0,2.48216605346361,0.168762184541396,17.09,1.48160457611084,1.47413169027404,4.40000009536743,4.37626447663099,0.373274296522141,4.40238104547773,0,0,0,3.58351898193359,0
"0027731006","JUVENILE FICTION",4689118.06021327,4689118.06021327,0,2.24509936706668,0.168762184541396,19.99,1.33500111103058,1.47413169027404,3.79999995231628,4.37626447663099,0.373274296522141,3.89552242838921,0,0,0,2.99573230743408,0
"0030546265","JUVENILE FICTION",7322738.90769715,7322738.90769715,0,2.83890660549293,0.168762184541396,20.57,1.60943794250488,1.47413169027404,5,4.37626447663099,0.373274296522141,5,0,0,1,0,0
"0030565073","FICTION: Dystopian",4728427.28160112,4728427.28160112,0,2.29097076208057,0.168762184541396,18.05,1.48160457611084,1.47413169027404,4.40000009536743,4.37626447663099,0.373274296522141,4.49363057932277,0,0,1,8.80357456207275,0
"0060006234","JUVENILE NONFICTION",3397819.59586401,3397819.59586401,0,2.01462086102001,0.168762184541396,6.99,1.22377550601959,1.47413169027404,3.40000009536743,4.37626447663099,0.373274296522141,3.32068965900903,0,0,0,3.93182563781738,0
"0060008911","SCIENCE",7825135.18146291,7825135.18146291,0,2.02841012444263,0.168762184541396,8,1.22377550601959,1.47413169027404,3.40000009536743,4.37626447663099,0.373274296522141,3.41592364706052,0,0,0,3.55534815788269,0
"006000942X","LITERARY CRITICISM",2343819.02878418,2343819.02878418,0,2.32744025923803,0.168762184541396,8.64,1.45861506462097,1.47413169027404,4.30000019073486,4.37626447663099,0.373274296522141,4.30000019073486,0,0,1,6.70073127746582,0
"0060090251","BIOGRAPHY & AUTOBIOGRAPHY",4340779.62143927,4340779.62143927,0,2.26175004641415,0.168762184541396,25.19,1.41098690032959,1.47413169027404,4.09999990463257,4.37626447663099,0.373274296522141,4.09999990463257,0,0,1,6.2005090713501,0
"006009026X","BIOGRAPHY & AUTOBIOGRAPHY",1570015.46863989,1570015.46863989,0,2.26167581955458,0.168762184541396,6.32,1.41098690032959,1.47413169027404,4.09999990463257,4.37626447663099,0.373274296522141,4.09999990463257,0,0,1,6.20253562927246,0
"006016767X","FICTION: Mystery & Detective",5317843.01335566,5317843.01335566,0,2.50162597546046,0.168762184541396,13.3,1.52605628967285,1.47413169027404,4.59999990463257,4.37626447663099,0.373274296522141,4.59999990463257,0,0,1,5.19295692443848,0
"006017322X","FICTION: African American",5113906.50962347,5113906.50962347,0,2.39118080779192,0.168762184541396,18,1.54756247997284,1.47413169027404,4.69999980926514,4.37626447663099,0.373274296522141,4.70185166818124,0,0,1,9.244065284729,0
"0060175400","FICTION: Historical",1150716.69794893,1150716.69794893,0,2.36395528459547,0.168762184541396,20.86,1.50407743453979,1.47413169027404,4.5,4.37626447663099,0.373274296522141,4.49430605525224,0,0,1,7.89319896697998,0
"0060183691","FICTION: Mystery & Detective",4912266.04927462,4912266.04927462,0,2.4018014010784,0.168762184541396,12.2,1.48160457611084,1.47413169027404,4.40000009536743,4.37626447663099,0.373274296522141,4.40000009536743,0,0,1,5.77765226364136,0
"0060198133","FICTION: Family Life",6390068.56393167,6390068.56393167,0,2.36482032936546,0.168762184541396,14.44,1.45861506462097,1.47413169027404,4.30000019073486,4.37626447663099,0.373274296522141,4.30000019073486,0,0,1,5.68017244338989,0
"0060199490","FICTION: African American",2127322.30677734,2127322.30677734,0,2.38586349064993,0.168762184541396,18.7,1.50407743453979,1.47413169027404,4.5,4.37626447663099,0.373274296522141,4.48316152808593,0,0,1,7.29505634307861,0
"0060210281","JUVENILE FICTION",5942850.97147237,5942850.97147237,0,2.45353385299572,0.168762184541396,14.57,1.45861506462097,1.47413169027404,4.30000019073486,4.37626447663099,0.373274296522141,4.30000019073486,0,0,0,3.25809645652771,0
"0060211334","JUVENILE FICTION",4856842.00066466,4856842.00066466,0,2.51204037567663,0.168762184541396,11.19,1.50407743453979,1.47413169027404,4.5,4.37626447663099,0.373274296522141,4.40909099578857,0,0,0,3.85014748573303,0
"0060218053","JUVENILE FICTION",3032091.0248783,3032091.0248783,0,2.55394564364681,0.168762184541396,10.98,1.56861591339111,1.47413169027404,4.80000019073486,4.37626447663099,0.373274296522141,4.75583758572031,0,0,0,5.8141303062439,0
"0060233966","JUVENILE FICTION",7033422.24219721,7033422.24219721,0,2.58805644680936,0.168762184541396,17.89,1.52605628967285,1.47413169027404,4.59999990463257,4.37626447663099,0.373274296522141,4.59999990463257,0,0,0,2.83321332931519,0
"0060234822","FICTION: Literary",8553347.53327354,8553347.53327354,0,2.44911006876832,0.168762184541396,14.18,1.54756247997284,1.47413169027404,4.69999980926514,4.37626447663099,0.373274296522141,4.69999980926514,0,0,1,7.66246795654297,0
"0060234830","JUVENILE FICTION",2451132.40633202,2451132.40633202,0,2.41153122784354,0.168762184541396,14.46,1.54756247997284,1.47413169027404,4.69999980926514,4.37626447663099,0.373274296522141,4.69999980926514,0,0,1,8.68845367431641,0
"0060234865","JUVENILE FICTION",1913238.40101253,1913238.40101253,0,2.41153122784354,0.168762184541396,14.57,1.54756247997284,1.47413169027404,4.69999980926514,4.37626447663099,0.373274296522141,4.69999980926514,0,0,1,8.68845367431641,0
"0060234881","JUVENILE FICTION",2303850.45338654,2303850.45338654,0,2.46104945224814,0.168762184541396,11.98,1.52605628967285,1.47413169027404,4.59999990463257,4.37626447663099,0.373274296522141,4.57838820363139,0,0,1,6.30078601837158,0
